[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0040s | Distancia: 1087
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0045s | Distancia: 1253
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0041s | Distancia: 1168
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0039s | Distancia: 1166
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0044s | Distancia: 1381
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0040s | Distancia: 1250
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0041s | Distancia: 963
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0039s | Distancia: 1253
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0044s | Distancia: 960
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0041s | Distancia: 1212
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0041s | Distancia: 1129
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0040s | Distancia: 962
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0041s | Distancia: 1175
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0041s | Distancia: 1230
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0047s | Distancia: 1302
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0042s | Distancia: 1104
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0043s | Distancia: 1194
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0043s | Distancia: 1120
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0045s | Distancia: 1109
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0048s | Distancia: 1324
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0043s | Distancia: 984
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0043s | Distancia: 1120
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0046s | Distancia: 1319
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0048s | Distancia: 1150
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0043s | Distancia: 1183
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0046s | Distancia: 1205
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0044s | Distancia: 1229
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0172s | Distancia: 998
