[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0041s | Distancia: 1489
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0042s | Distancia: 1561
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0043s | Distancia: 1572
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0041s | Distancia: 1162
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0042s | Distancia: 1613
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0041s | Distancia: 1549
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0040s | Distancia: 1509
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0040s | Distancia: 1384
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0040s | Distancia: 1314
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0043s | Distancia: 1513
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0041s | Distancia: 1511
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0042s | Distancia: 1574
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0041s | Distancia: 1451
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0042s | Distancia: 1389
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0041s | Distancia: 1368
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0041s | Distancia: 1476
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0041s | Distancia: 1283
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0045s | Distancia: 1043
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0052s | Distancia: 1668
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0048s | Distancia: 1416
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0044s | Distancia: 1452
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0044s | Distancia: 1460
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0044s | Distancia: 1559
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0050s | Distancia: 1577
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0043s | Distancia: 1433
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0043s | Distancia: 1261
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0045s | Distancia: 1575
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0163s | Distancia: 1451
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0169s | Distancia: 1140
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0166s | Distancia: 1291
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0170s | Distancia: 1234
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0164s | Distancia: 1252
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0163s | Distancia: 1363
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0163s | Distancia: 1327
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0165s | Distancia: 1412
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0167s | Distancia: 1412
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0168s | Distancia: 1048
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0173s | Distancia: 1299
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0170s | Distancia: 1304
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0175s | Distancia: 1373
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0170s | Distancia: 1217
