[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1225
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 987
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 791
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 1178
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0016s | Distancia: 944
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0007s | Distancia: 944
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0054s | Distancia: 997
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0082s | Distancia: 896
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0047s | Distancia: 1061
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0103s | Distancia: 605
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0161s | Distancia: 605
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0079s | Distancia: 982
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0009s | Distancia: 1135
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 875
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 773
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 731
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0018s | Distancia: 894
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 1254
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0063s | Distancia: 1034
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0092s | Distancia: 978
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0043s | Distancia: 1073
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0115s | Distancia: 980
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0172s | Distancia: 957
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0089s | Distancia: 891
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0007s | Distancia: 1199
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0011s | Distancia: 605
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 1156
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0013s | Distancia: 896
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0020s | Distancia: 943
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0010s | Distancia: 980
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0063s | Distancia: 928
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0091s | Distancia: 965
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0051s | Distancia: 791
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0131s | Distancia: 928
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0184s | Distancia: 821
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0105s | Distancia: 868
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0007s | Distancia: 809
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 605
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 731
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0015s | Distancia: 1035
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0019s | Distancia: 868
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0011s | Distancia: 746
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0073s | Distancia: 891
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0094s | Distancia: 685
