[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1627
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 1611
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 1374
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0010s | Distancia: 1397
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0016s | Distancia: 1397
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 1237
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0058s | Distancia: 1340
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0079s | Distancia: 1365
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0038s | Distancia: 1123
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0104s | Distancia: 1134
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0157s | Distancia: 1422
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0079s | Distancia: 1134
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1376
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 1177
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 1240
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 1214
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0017s | Distancia: 1191
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 1545
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0055s | Distancia: 1270
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0085s | Distancia: 1395
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0042s | Distancia: 1315
